"filename", "language", "Markdown", "PostCSS", "HTML", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\pages\perfil-paciente.page.js", "JavaScript", 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\pages\registro-cuidador.js", "JavaScript", 0, 0, 0, 61, 0, 0, 11, 72
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\pages\registro-paciente.js", "JavaScript", 0, 0, 0, 60, 0, 0, 11, 71
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\services\alarma.service.js", "JavaScript", 0, 0, 0, 97, 0, 34, 22, 153
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\services\cuidador.service.js", "JavaScript", 0, 0, 0, 75, 0, 29, 22, 126
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\services\medicina.service.js", "JavaScript", 0, 0, 0, 59, 0, 6, 15, 80
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\services\paciente.service.js", "JavaScript", 0, 0, 0, 78, 0, 5, 19, 102
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\utils\form-validation.js", "JavaScript", 0, 0, 0, 87, 0, 0, 25, 112
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\utils\http-error.util.js", "JavaScript", 0, 0, 0, 100, 0, 2, 22, 124
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\pages\alarmas.html", "HTML", 0, 0, 169, 0, 0, 9, 14, 192
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\pages\cuidador-alarmas.html", "HTML", 0, 0, 214, 0, 0, 10, 18, 242
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\pages\cuidador-medicinas.html", "HTML", 0, 0, 191, 0, 0, 1, 21, 213
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\pages\cuidador-vinculacion.html", "HTML", 0, 0, 67, 0, 0, 0, 6, 73
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\pages\dashboard-cuidador.html", "HTML", 0, 0, 186, 0, 0, 0, 36, 222
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\pages\dashboard-paciente.html", "HTML", 0, 0, 90, 0, 0, 2, 20, 112
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\pages\medicamentos.html", "HTML", 0, 0, 169, 0, 0, 2, 18, 189
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\pages\perfil-cuidador.html", "HTML", 0, 0, 109, 0, 0, 0, 17, 126
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\pages\perfil-paciente.html", "HTML", 0, 0, 110, 0, 0, 1, 17, 128
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\pages\registro-cuidador.html", "HTML", 0, 0, 87, 0, 0, 0, 16, 103
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\pages\registro-paciente.html", "HTML", 0, 0, 85, 0, 0, 0, 13, 98
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\alarmas\alarm-item.css", "PostCSS", 0, 62, 0, 0, 0, 1, 11, 74
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\alarmas\badges.css", "PostCSS", 0, 70, 0, 0, 0, 3, 11, 84
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\alarmas\cards.css", "PostCSS", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\alarmas\detail-actions.css", "PostCSS", 0, 64, 0, 0, 0, 1, 12, 77
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\alarmas\detail-panel.css", "PostCSS", 0, 66, 0, 0, 0, 3, 11, 80
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\alarmas\edit-form.css", "PostCSS", 0, 42, 0, 0, 0, 1, 7, 50
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\alarmas\empty-states.css", "PostCSS", 0, 84, 0, 0, 0, 2, 12, 98
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\alarmas\index.css", "PostCSS", 0, 26, 0, 0, 0, 2, 5, 33
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\styles\alarmas\layout.css", "PostCSS", 0, 386, 0, 0, 0, 8, 63, 457
